Season,Week,PlayerID,Name,Team,Opponent,HomeOrAway,Position,Receptions,ReceivingYards,ReceivingTouchdowns,RushingYards,RushingTouchdowns,PassingYards,PassingTouchdowns,FumblesLost,FantasyPoints,FantasyPointsPPR,TotalYards,TotalTDs,source_file
2024,5,24220,Tyler Scott,CHI,CAR,HOME,WR,0.1,1.2,0.0,0.2,0.0,0.0,0.0,0.0,0.14,0.24,1.4,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,25051,Dante Miller,NYG,SEA,AWAY,RB,0.0,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.14,0.14,1.4,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,25304,Casey Washington,ATL,TB,HOME,WR,0.1,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.24,1.4,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,19491,Robert Tonyan,MIN,NYJ,HOME,TE,0.1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.23,1.3,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,21823,Patrick Taylor Jr.,SF,ARI,HOME,RB,0.2,0.7,0.0,0.6,0.0,0.0,0.0,0.0,0.13,0.33,1.2999999999999998,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,23004,Adam Prentice,NO,KC,AWAY,RB,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.12,0.12,1.2,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,25134,Brevyn Spann-Ford,DAL,PIT,AWAY,TE,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,1.2,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,17762,Chris Manhertz,NYG,SEA,AWAY,TE,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,1.1,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,15974,Jordan Matthews,CAR,CHI,AWAY,TE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,22892,Tim Jones,JAX,IND,HOME,WR,0.1,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,1.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,23160,John Metchie III,HOU,BUF,HOME,WR,0.1,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,1.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,24170,Clayton Tune,ARI,SF,AWAY,QB,0.0,0.0,0.0,0.4,0.0,1.4,0.0,0.0,0.1,0.1,1.7999999999999998,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,16762,Jameis Winston,CLE,WAS,AWAY,QB,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09,0.09,0.9,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,20361,Ross Dwelley,ATL,TB,HOME,TE,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.9,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,20859,Drew Lock,NYG,SEA,AWAY,QB,0.0,0.0,0.0,0.3,0.0,1.4,0.0,0.0,0.09,0.09,1.7,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,20954,Jarrett Stidham,DEN,LV,HOME,QB,0.0,0.0,0.0,0.1,0.0,2.0,0.0,0.0,0.09,0.09,2.1,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,21227,Andrew Beck,GB,LAR,AWAY,RB,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.9,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,21383,Jody Fortson,KC,NO,HOME,TE,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.9,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,22569,Dee Eskridge,MIA,NE,AWAY,WR,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.9,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,22614,Kadarius Toney,CLE,WAS,AWAY,WR,0.0,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.09,0.09,0.8999999999999999,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,23242,Michael Penix Jr.,ATL,TB,HOME,QB,0.0,0.0,0.0,0.3,0.0,1.6,0.0,0.0,0.09,0.09,1.9,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,23325,Erik Ezukanma,MIA,NE,AWAY,WR,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.9,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,23624,Dareke Young,SEA,NYG,HOME,WR,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.9,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,23962,Irvin Charles,NYJ,MIN,AWAY,WR,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.9,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,21782,Jonathan Ward,PIT,DAL,HOME,RB,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.7,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,24686,Nate Adkins,DEN,LV,HOME,TE,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.7,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,25099,Dallin Holker,NO,KC,AWAY,TE,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.17,0.7,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,19461,Cooper Rush,DAL,PIT,AWAY,QB,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.06,0.06,1.4,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,20768,Myles Gaskin,MIN,NYJ,HOME,RB,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.06,0.06,0.6,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,18926,Zay Jones,ARI,SF,AWAY,WR,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.5,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,6489,Josh Johnson,BAL,CIN,AWAY,QB,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.03,0.03,0.7,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,24533,Ben Sims,GB,LAR,AWAY,TE,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.3,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,19910,Ian Thomas,CAR,CHI,AWAY,TE,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.2,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,22498,Feleipe Franks,CAR,CHI,AWAY,TE,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.02,0.02,0.3,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,20990,Trayveon Williams,CIN,BAL,HOME,RB,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.01,0.01,0.1,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,22925,Avery Williams,ATL,TB,HOME,RB,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.01,0.01,0.1,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,25045,Rasheen Ali,BAL,CIN,AWAY,RB,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.01,0.01,0.1,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,3061,Marcedes Lewis,CHI,CAR,HOME,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,13250,DJ Williams,TB,ATL,AWAY,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,14536,Russell Wilson,PIT,DAL,HOME,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,15150,Cordarrelle Patterson,PIT,DAL,HOME,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,15534,Adam Thielen,CAR,CHI,AWAY,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,15694,Case Keenum,HOU,BUF,HOME,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,16041,Jimmy Garoppolo,LAR,GB,HOME,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,16470,Davante Adams,LV,DEN,AWAY,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,16568,Brandin Cooks,DAL,PIT,AWAY,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,16763,Marcus Mariota,WAS,CLE,HOME,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,16837,Chris Conley,SF,ARI,HOME,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,16866,Jamison Crowder,WAS,CLE,HOME,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,16903,MyCole Pruitt,PIT,DAL,HOME,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,17005,Geoff Swaim,CLE,WAS,AWAY,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,17914,Laquon Treadwell,IND,JAX,AWAY,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,17920,Carson Wentz,KC,NO,HOME,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,18032,Tyler Higbee,LAR,GB,HOME,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,18118,Brandon Allen,SF,ARI,HOME,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,18123,Jeff Driskel,WAS,CLE,HOME,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,18858,Joe Mixon,HOU,BUF,HOME,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,18877,Christian McCaffrey,SF,ARI,HOME,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,18882,Cooper Kupp,LAR,GB,HOME,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_2024_week5_skill_positions_projections.csv
2024,5,18912,Evan Engram,JAX,IND,HOME,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_2024_week5_skill_positions_projections.csv
